k,GMM,Kmeans
2,-1.0307493502431242e-05,-1.0338587711130706e-05
3,0.0025591449308208277,-1.525053731140821e-06
4,0.003917637232676816,5.680497054265087e-06
5,0.0031505924543130635,-3.3380180302329443e-06
6,0.00411449409055072,-5.5080484926981175e-06
7,0.0034291149197020277,6.093209650959898e-06
8,0.0031509785345815024,4.011062355540746e-06
9,0.004030929324930307,-7.850255346114419e-06
10,0.004080327347523095,1.011974386850872e-05
15,0.004656084255674631,-1.0563424396958645e-05
20,0.005013536204683891,-1.1907695045568818e-05
25,0.004073398262837451,-2.029959969824436e-05
30,0.004086234399150439,-1.670617835079732e-05
35,0.0054503442784751156,3.371106676646963e-06
40,0.004916877026543466,-1.4962790142374157e-05
