k,GMM,Kmeans
2,0.00013614231335351296,0.6262455444142064
3,-0.003611107037191333,0.5902630971436251
4,-0.004695152446661465,0.571196688699002
5,-0.007844318967961542,0.5607632063767684
6,-0.009997420360270794,0.5536229834127949
7,-0.0077681829425772,0.5497327593878036
8,-0.008962429134206662,0.5438535172222551
9,-0.018102723541860898,0.5420534988611391
10,-0.018759364865587998,0.5397977906260888
15,-0.019739588583696073,0.5317690325906369
20,-0.03834440596412927,0.5287860134851657
25,-0.037475705348891594,0.5264982550743713
30,-0.04063959152175521,0.5252281696405029
35,-0.2537909403631097,0.5235015462571662
40,-0.045372396949597465,0.5240036900534766
