k,GMM,Kmeans
2,0.6092095796073594,0.6092095796073594
3,0.6092095796073594,0.6092095796073594
4,0.6092095796073594,0.6092095796073594
5,0.6092095796073594,0.6092095796073594
6,0.6092095796073594,0.6092095796073594
7,0.6092095796073594,0.6092095796073594
8,0.6487049028677151,0.6092095796073594
9,0.6706239079042039,0.6092095796073594
10,0.649989721451331,0.6092095796073594
15,0.6670778086134238,0.6092095796073594
20,0.6959605303731113,0.6092095796073594
25,0.7570408058382156,0.6092095796073594
30,0.6673090759584747,0.6092095796073594
35,0.6828553808202282,0.6092095796073594
40,0.7263593380614657,0.6092095796073594
