k,GMM,Kmeans
2,0.0033690446570839526,-1.0495089175256506e-05
3,0.005733263838791869,-1.8053049087528386e-05
4,0.007290959987368872,-9.307861592938516e-06
5,0.005699958798441982,6.759869494125802e-06
6,0.006796814450952982,-1.2702819571235294e-05
7,0.007200988481047828,-1.8230337791921648e-05
8,0.019777761947112248,1.3263619743118059e-05
9,0.02530396883920895,-5.4513566971304185e-06
10,0.02176937437452263,-7.935621825415953e-06
15,0.02709384545555038,1.8320458916878042e-06
20,0.03697778069341469,2.0941746043054944e-05
25,0.07038626708637613,5.37902667211503e-06
30,0.026245658752009907,8.0394000568397e-08
35,0.02328823904177092,-8.013981605866344e-06
40,0.036327710261607075,1.1138618926733831e-05
