k,GMM,Kmeans
2,0.002874656944990802,0.6288672525709009
3,-0.02297644100675286,0.5890480830494029
4,-0.020508047200902598,0.5722250756578087
5,-0.021450423654618734,0.5610566449610909
6,-0.02758811998329666,0.5548906046943703
7,-0.029499015088105297,0.5493434746303806
8,-0.034782590821933856,0.5438091392989891
9,-0.03750946207861766,0.5425011330849694
10,-0.026307801942525556,0.53944848670098
15,-0.07090264784213425,0.5315901119333173
20,-0.0898424188211687,0.5303277929544101
25,-0.1181376449954846,0.5267710053200889
30,-0.3244528941898305,0.5254578909230603
35,-0.33265404562520356,0.5260404050044627
40,-0.47194517367748334,0.5246783607877957
