k,GMM,Kmeans
2,-8.084693643773414e-06,2.9276350419698575e-06
3,0.00271386470257587,-8.090794419139037e-06
4,0.0029616499748219456,5.610574858434654e-06
5,0.004854090727783041,2.506512763580621e-06
6,0.005505210271036231,-5.4308022870207405e-06
7,0.005095533740549966,4.421887013958375e-06
8,0.00578072758092549,7.410836508392715e-06
9,0.006846396591846057,1.3663262896976976e-05
10,0.007693622388648754,5.002786801219861e-06
15,0.009234849905328482,-8.281620429928859e-06
20,0.010027380333161409,4.1080486654313305e-06
25,0.010557715949449124,-1.3822520048929849e-05
30,0.012860912091674538,-2.3462028675203478e-05
35,0.012534129938503419,-8.133516032135881e-06
40,0.012624057289127393,-1.5243739560057342e-05
