k,GMM,Kmeans
2,0.6254119321320694,0.626607088699568
3,-0.002812089273467175,0.5908391144808055
4,-0.006103002767586383,0.5729025870205231
5,-0.004222133782560745,0.561401977922748
6,-0.008320697940758435,0.5534615115893022
7,-0.00667306617480327,0.5484369895257624
8,-0.009461864150440025,0.5442535981245867
9,-0.010039288576329552,0.5417030642212689
10,-0.008196165965747786,0.5387428043790743
15,-0.02087230019873175,0.5310230611848787
20,-0.3747306212132714,0.5289185558202363
25,-0.4149977411379731,0.5262169274091281
30,-0.4648802402647978,0.5247417229502419
35,-0.4880313774554689,0.524227003715653
40,-0.45279015338891815,0.5239941236905072
