,x,y,target,Kmeans,GMM
0,-50.61864471,-27.85725021,1,0,1
1,-55.75715256,38.71338654,1,1,1
2,-26.76981354,-16.79338074,1,1,1
3,-68.48090363,-29.29933357,0,1,0
4,34.26594925,-48.93228149,0,0,1
5,62.38240814,58.66153717,0,1,0
6,-45.81142044,-4.892952919,0,0,1
7,21.89333153,27.38012314,0,0,1
8,-42.9556694,41.98474121,1,0,1
9,-22.9371891,-27.30091095,1,1,1
10,-62.66516113,-25.42274666,0,0,1
11,46.55836868,-12.26529694,1,0,1
12,17.25686646,0.851225138,0,0,1
13,-57.89178848,-33.27543259,1,0,1
14,-58.66282654,31.49314308,1,0,1
15,-43.4144783,21.70834351,1,0,1
16,-6.201443672,20.15985489,1,1,1
17,-33.86040497,-70.29142761,0,1,1
18,-36.81437302,-12.21400547,1,0,0
19,46.59238434,-20.41684151,1,0,1
20,-21.21700668,-47.26457214,0,1,1
21,-20.27326202,3.850772619,1,0,0
22,-1.912135601,-19.99534988,1,0,1
23,43.2195549,-16.06024551,1,0,1
24,84.3265686,11.38550472,0,1,1
25,7.831018925,-72.66631317,0,0,1
26,-10.33149433,50.95832825,1,1,1
27,-60.00119781,-12.98383331,1,0,0
28,-72.28045654,-14.76398373,1,1,1
29,33.961483,8.929642677,1,1,1
30,17.19191933,-31.21531868,1,0,1
31,-5.121189594,-58.17460632,1,0,1
32,14.26733971,-46.92646408,1,0,1
33,5.826795578,-5.263381004,1,0,1
34,-28.05580521,-29.3943367,0,1,1
35,11.53788567,33.75336838,0,0,1
36,22.32806969,74.43317413,1,1,1
37,39.98464203,-71.86852264,0,1,1
38,-22.74873734,29.38280487,0,0,0
39,-25.19610023,-45.25130463,1,1,1
40,-69.03235626,4.555221081,1,0,1
41,36.19363022,-25.29925346,1,0,1
42,45.2134819,-18.07706642,0,0,1
43,-22.48154831,-9.932507515,1,0,1
44,-68.14080811,8.924951553,0,0,0
45,-40.08185196,-34.70134354,1,0,1
46,6.81344986,-13.22044849,0,1,1
47,10.74668407,63.12060547,0,0,1
48,-43.99892426,23.78334236,0,0,0
49,-33.54603577,32.87423325,1,0,1
50,10.98155689,-13.02823544,0,1,1
51,-37.13895035,-12.29601288,0,0,1
52,20.81806183,14.78324986,0,0,1
53,15.59294319,-21.79938698,1,1,1
54,40.20714569,8.998748779,0,1,0
55,-4.574066162,81.13101196,0,0,1
56,-77.97006989,-6.373447418,1,1,1
57,64.01190948,54.6309967,1,1,1
58,58.73855972,21.2100029,0,0,1
59,-37.86369705,21.5634861,1,0,1
60,2.987747431,56.13095093,1,0,1
61,0.091242097,13.65280437,1,0,1
62,-57.80770493,-31.97442818,0,0,0
63,-32.89903641,-17.04039383,1,0,1
64,-7.091806889,33.89304733,1,0,1
65,22.67903519,-66.41088104,0,1,0
66,57.12466431,11.98061752,1,1,1
67,17.92853546,-6.364946365,0,0,1
68,4.621975899,-67.1869278,0,0,1
69,4.649162292,-13.91292763,0,1,1
70,-7.132636547,-26.27013206,1,1,1
71,-39.29400253,-29.55098724,0,0,1
72,10.05234623,-22.35356712,0,1,0
73,-3.422733068,48.74035645,1,0,1
74,-8.349132538,-40.89885712,1,1,1
75,-3.322859764,6.345672607,1,1,1
76,31.10013771,-31.2833004,1,0,1
77,62.70661545,47.74216461,1,1,1
78,-77.37600708,26.65145302,0,0,0
79,-0.370609432,33.98160172,0,0,0
80,-43.60780334,-52.50082779,0,0,1
81,-71.51939392,-24.4684906,0,1,0
82,20.81651688,39.32551575,0,1,1
83,-37.98358917,-2.494404554,1,0,1
84,75.24356842,-35.3245697,1,1,1
85,19.59572411,22.8725853,1,0,1
86,75.51940918,31.30172729,0,1,0
87,-20.26906395,21.48075294,0,0,0
88,-28.60764885,70.13371277,1,0,1
89,-3.217485905,40.43105316,1,1,1
90,-55.32262421,43.10058594,1,1,1
91,-35.3595314,-20.90739059,1,0,1
92,-23.78809357,16.69778252,1,0,1
93,62.95788574,4.747440338,1,1,1
94,-44.64339447,53.01242828,0,0,1
95,-40.03460312,29.11937332,1,0,1
96,52.80339813,17.00111771,0,1,1
97,46.95611572,-24.38265419,1,0,1
98,-56.80091095,53.97875595,1,1,1
99,-10.20626354,-35.35303879,0,1,1
100,28.14836502,16.99548149,1,0,1
101,0.007358306,34.10803604,1,0,1
102,1.482846498,51.97615433,0,1,1
103,-32.39817047,-38.28440857,0,1,0
104,26.74947929,31.79372978,1,0,1
105,-33.88069916,-31.76479149,0,1,0
106,-5.900341988,46.43852615,1,1,1
107,3.838653803,-36.83720779,1,0,1
108,-19.70544434,41.40846252,0,0,1
109,17.39992523,0.196801409,0,0,0
110,38.42169189,-5.644835472,1,1,0
111,0.655822396,-84.44937897,1,1,1
112,-1.821674705,67.74563599,1,1,1
113,-68.70342255,-7.229483128,1,1,1
114,42.15907669,59.51354599,0,1,1
115,-38.08576584,-24.70487785,0,0,1
116,-30.28310013,-13.67119217,0,0,1
117,-13.3294754,-63.4196434,1,0,1
118,15.759552,18.32870293,0,0,1
119,-18.17996788,26.65507317,0,0,0
120,45.35018539,41.72121811,0,0,0
121,66.92993164,46.25633621,0,1,0
122,48.56155396,-35.21670151,1,1,1
123,67.02600861,12.82211208,0,0,1
124,2.620591879,49.36971664,0,1,1
125,-47.13136673,-57.28546143,1,1,1
126,70.83699036,29.14400101,0,1,1
127,-18.00641441,-72.50353241,1,1,1
128,0.999284685,76.28322601,1,0,1
129,25.85107613,-53.39362717,0,0,1
130,31.25813103,-5.080127239,1,1,1
131,27.4568367,-50.7678299,1,0,1
132,-40.15554428,28.50524902,1,0,1
133,-33.04545975,32.347435,1,0,1
134,84.39019012,5.706691265,1,1,1
135,11.83825111,-62.8674736,0,0,0
136,-17.59944725,33.54930496,0,0,0
137,22.28744125,28.76135063,0,0,1
138,-6.3252635,-3.02775836,1,1,1
139,2.072586775,17.29109383,1,0,1
140,-25.78580284,-7.060395718,0,1,0
141,-61.73280334,47.53487778,1,1,1
142,-23.32025719,6.717502117,1,1,1
143,50.73102188,-67.77400208,1,1,1
144,-3.44278121,-33.40847015,1,0,1
145,-20.51680756,12.73410511,0,0,0
146,-57.53139114,-25.40640831,1,0,1
147,-37.2683754,0.661732137,0,0,0
148,-41.08317184,58.5172348,1,0,1
149,-30.20843124,-77.85613251,0,1,1
150,64.72983551,36.3693924,1,1,1
151,30.74154472,19.28463554,1,0,1
152,82.858284,-20.01784325,0,1,1
153,-12.80020237,27.72289276,1,1,0
154,41.09798431,-31.95720673,1,0,0
155,-69.99916077,52.51957703,1,1,1
156,-42.67842865,70.88600159,0,1,1
157,-38.28230667,43.75616455,0,0,1
158,31.93907928,-32.56139374,1,0,1
159,8.568864822,25.65728378,1,0,1
160,-71.19181061,-10.40715885,0,1,1
161,74.67050934,-7.376729488,1,1,1
162,74.49697876,-33.14527893,1,1,1
163,-68.42453003,54.15288544,1,1,1
164,-46.16839981,67.32510376,1,1,1
165,36.87742615,52.86458969,0,1,0
166,-1.579656601,-19.47311592,1,0,1
167,-4.497166157,-74.4377594,0,0,0
168,-22.88624001,-21.56146622,1,1,1
169,64.12802887,-21.4144783,0,1,0
170,-37.33386993,-4.52339077,1,0,1
171,-2.934750319,61.29348373,1,1,1
172,65.71179199,-50.38576508,1,1,1
173,32.03852844,-40.08293915,0,1,0
174,-37.83832169,-12.43249321,0,0,0
175,31.89139557,-26.16595459,1,0,1
176,-55.9083519,-4.469685078,0,0,1
177,-20.49073219,57.29553986,1,1,1
178,29.2660141,64.94858551,0,1,1
179,41.83050537,-49.67253876,0,1,0
180,-13.79044819,-3.050271749,1,1,1
181,-21.92107964,-15.14106941,0,1,1
182,-13.4317112,-31.96030807,1,0,1
183,36.25167847,55.14225388,1,1,1
184,49.8261261,46.2246666,1,1,1
185,-22.98431396,-30.92494583,1,1,1
186,10.28304482,-59.08736801,0,0,1
187,26.18961334,15.49655056,0,0,1
188,17.59980583,46.79518509,1,1,1
189,-27.12944984,-16.89235687,0,1,1
190,39.96134567,-63.5486908,1,1,1
191,4.64377737,-4.498286247,0,0,0
192,-13.28691864,-81.90755463,0,1,0
193,57.81402206,-8.57062149,0,1,1
194,-49.26873398,47.96938705,1,1,1
195,-24.98987961,5.183036327,0,1,1
196,31.54945183,-11.87332916,0,0,1
197,81.44248199,20.76531601,0,1,1
198,-49.54059219,-45.72989273,0,0,1
199,62.06425476,-40.75156784,1,1,1
200,12.76747704,0.970960677,0,0,1
201,53.77521515,8.794334412,1,1,1
202,8.001971245,-52.25772858,0,1,1
203,5.380383492,71.13424683,1,0,1
204,-20.10950851,21.2752037,1,0,1
205,58.87783813,21.14241791,0,0,1
206,-13.37018871,-81.89408112,0,1,0
207,-34.63999557,-59.04285812,0,0,1
208,3.613371849,-37.04986572,1,0,1
209,-4.189378262,-32.36171341,1,0,1
210,4.525670052,82.8167572,0,0,1
211,-49.7828598,27.0625515,1,0,1
212,42.06903458,-31.41612816,1,0,1
213,-10.62522316,18.94887924,1,1,1
214,30.70026398,13.49953938,1,0,1
215,2.236109018,34.58270264,1,0,1
216,82.80554962,-8.144474983,1,1,0
217,-5.831345081,-46.36455154,1,0,1
218,-3.660561323,39.05060196,1,1,1
219,-15.15709305,73.37562561,1,1,1
220,30.23936462,-30.23596191,1,0,1
221,-43.998909,-26.97875786,0,0,1
222,-29.25354004,29.79108429,1,0,1
223,30.8018856,-71.12615204,0,0,0
