k,GMM,Kmeans
2,0.709913660191181,0.6092095796073594
3,0.7100421420495426,0.6092095796073594
4,0.7731267345050878,0.6092095796073594
5,0.7391818275259533,0.6092095796073594
6,0.7268475691232398,0.6092095796073594
7,0.7437814780552986,0.6092095796073594
8,0.7479442902662145,0.6092095796073594
9,0.7783430979545688,0.6092095796073594
10,0.7414945009764621,0.6092095796073594
15,0.7808099496351115,0.6092095796073594
20,0.7527752081406105,0.6092095796073594
25,0.7796022201665125,0.6092095796073594
30,0.7952513105149552,0.6092095796073594
35,0.7917052112241751,0.6092095796073594
40,0.7955082742316785,0.6092095796073594
