k,GMM,Kmeans
2,0.10278031917997509,-1.75968541249031e-05
3,0.06593044061853336,-2.428786972155794e-06
4,0.14213788032456137,-2.5448836672045527e-05
5,0.09552939815056721,1.1709070272313068e-05
6,0.07271942728277747,-8.538036552358361e-06
7,0.09269312437419151,-4.538082770304506e-07
8,0.09475939027723485,3.876170458225907e-05
9,0.09081477925451033,5.0599355192135864e-05
10,0.07400570143666746,2.4300724812894424e-05
15,0.08216381239444177,1.2446249020791484e-05
20,0.06808489606287346,1.524555191218691e-05
25,0.07272889763264734,0.0001118927777731827
30,0.07067748803305214,6.673317932576858e-05
35,0.06842439798090319,3.5687948041824345e-05
40,0.06817416470024551,5.161129296308568e-05
