k,GMM,Kmeans
2,-0.0015559029427249522,0.6274065550907695
3,0.2956009651854429,0.5896818265342454
4,0.113832625796348,0.5737782411268189
5,0.22224747020000318,0.5603000853087506
6,-0.1899984432582485,0.5537078235129061
7,-0.014849073000057023,0.5482790672470519
8,-0.021639013476964886,0.5450938352854516
9,-0.013154901517059722,0.5411706977251299
10,-0.18679764319662645,0.5404111704237651
15,-0.037287867525058103,0.5320171293597491
20,-0.03885661627301919,0.5294107279054732
25,-0.07573102750464272,0.5272089085327533
30,-0.5690194306155657,0.5262079796802631
35,-0.5095644910296566,0.5253350803503586
40,-0.47546203092932837,0.5254850106512512
