k,GMM,Kmeans
2,0.7758130723081781,0.7758130723081781
3,0.8551540029279214,0.7758130723081781
4,0.904455033441456,0.7758130723081781
5,0.8959152625082527,0.7758130723081781
6,0.8779458621580504,0.7758130723081781
7,0.8917243161006976,0.7758130723081781
8,0.8704825329391165,0.7758130723081781
9,0.9029767201538594,0.7758130723081781
10,0.9096363062261389,0.7758130723081781
15,0.8469299882309039,0.7758130723081781
20,0.8756925108361799,0.7758130723081781
25,0.8532738180669978,0.7758130723081781
30,0.8543215546688865,0.7758130723081781
35,0.8791371243218418,0.7758130723081781
40,0.8661193558572782,0.7758130723081781
