k,GMM,Kmeans
2,0.29257636121452624,2.5355401309107106e-06
3,0.24084527246589538,-9.301120931634013e-06
4,0.2562479890111487,-8.115495717634782e-06
5,0.23920017913208813,-1.3159148468645033e-05
6,0.21173728703032946,-1.0228830396603831e-05
7,0.2153646498793079,7.510636199037641e-07
8,0.13929797224851045,-1.7877220162425612e-05
9,0.18467588183141784,-4.431268603336897e-06
10,0.17348589460979172,-6.690636173413336e-06
15,0.11223782148461281,-1.1908237456845757e-05
20,0.11092530080748098,-3.845055220370328e-06
25,0.10719507167358155,-1.6585914632082665e-05
30,0.09821771948624146,-7.509799224394869e-06
35,0.11372420100610761,4.934009348260522e-06
40,0.09810215411634765,-2.942169718393303e-07
