k,GMM,Kmeans
2,-2.8449043434116182e-05,0.6264576855317078
3,-0.0026722567089907815,0.5905970746240339
4,-0.0028988325092640355,0.5713592141411273
5,-0.003465992821493295,0.5611306911363312
6,-0.007077576109089819,0.5540627373331591
7,-0.003917077609540022,0.5492019116260842
8,-0.01873545432852089,0.5443086195715084
9,-0.015781023176045225,0.5419739063959678
10,-0.0266612687486312,0.5396452061624832
15,-0.023826540476583988,0.5319774260390772
20,-0.04022266711819388,0.5279362276713793
25,-0.043670966080081836,0.5263744620686808
30,-0.2428511913257609,0.5254990826688256
35,-0.4748405489707196,0.5241359066793964
40,-0.43815861094152064,0.5233342793262306
