k,GMM,Kmeans
2,0.6910782197553705,0.6092095796073594
3,0.6910782197553705,0.6092095796073594
4,0.6910782197553705,0.6092095796073594
5,0.7372802960222017,0.6092095796073594
6,0.7369205468187892,0.6092095796073594
7,0.788647342995169,0.6092095796073594
8,0.7113269606331586,0.6092095796073594
9,0.6925686093123651,0.6092095796073594
10,0.7918336930825367,0.6092095796073594
15,0.7452975639839655,0.6092095796073594
20,0.8092301367046973,0.6092095796073594
25,0.7883646829067735,0.6092095796073594
30,0.7613064035358208,0.6092095796073594
35,0.8080224072360983,0.6092095796073594
40,0.8074570870593072,0.6092095796073594
