k,GMM,Kmeans
2,0.10311857537665924,-8.105378083003246e-06
3,0.1070731946122056,-1.0149410117296769e-05
4,0.10716674834538137,6.991429819864543e-06
5,0.16108245285482287,2.4606791190992524e-05
6,0.09107647890103805,8.8327627765425e-06
7,0.13707019145464958,-1.3570473914141478e-05
8,0.07037237586519658,-1.1402206285493487e-05
9,0.0738730532883162,-4.875870155035909e-06
10,0.12190665548396003,-5.294950385496358e-06
15,0.0861526109016337,1.0138819086414547e-05
20,0.11976879630229294,-2.1203559499034593e-05
25,0.11482720562506826,9.904407530318814e-06
30,0.08043531485905828,-2.5551723593772093e-05
35,0.10525132703054628,-4.0522855909612285e-05
40,0.1263914015178004,-3.206551880826564e-05
