k,GMM,Kmeans
2,-0.007428425828442366,0.6267974522332097
3,-0.009496854679370418,0.5889330186052034
4,-0.01307981458498739,0.5727186480411154
5,-0.026906644692823455,0.5620630213690598
6,-0.05309197758462975,0.5528781938563233
7,-0.03154793529891148,0.5482352416835373
8,-0.021458164647958203,0.5454388454234194
9,-0.08360725333907679,0.5426061996824485
10,-0.13126899027812064,0.5402298664804402
15,-0.48329877809891203,0.5326566902540311
20,-0.5621619907300441,0.5291157155926843
25,-0.5845731176404918,0.5273945189105123
30,-0.722760804239644,0.5261097123855448
35,-0.6880608342228859,0.5266182772424545
40,-0.8520890330096634,0.5242130339984679
