,x,y,target,Kmeans,GMM
0,17.28357697,13.00760746,1,1,1
1,32.40748596,-27.47919464,0,0,0
2,-25.31053734,11.98398876,0,1,1
3,64.97311401,6.073954105,0,1,1
4,-19.25948524,-55.54870224,0,0,1
5,-24.58909988,29.25252533,0,1,1
6,6.940923691,-43.16857529,0,0,0
7,-29.21984482,-34.38416672,0,0,0
8,-6.13659811,-60.65959167,0,1,0
9,-14.98482609,18.07865143,0,1,0
10,9.112267494,0.832971632,0,0,0
11,15.54290962,-53.66662979,0,1,1
12,-40.58102036,-5.059122562,0,0,0
13,28.55629921,-16.8991394,1,0,0
14,68.43901825,5.467905998,0,1,0
15,-11.24101734,-13.05287933,1,0,1
16,-1.660244703,-6.6256814,0,0,1
17,-42.00618362,-56.46491623,0,0,1
18,13.42166901,-1.747924924,0,1,0
19,-36.04649734,-2.257175446,1,1,1
20,59.09160614,-10.15244102,0,1,1
21,1.019102693,-27.55335045,0,1,0
22,-41.50869751,21.28130913,0,1,1
23,37.60600662,-60.06834793,1,0,1
24,36.94568634,-27.35419083,0,1,0
25,6.896875858,66.56859589,0,1,1
26,26.38056755,-7.33259201,0,1,0
27,-23.86490822,-1.962001443,0,0,0
28,52.81515884,-28.42187691,1,0,0
29,24.95108986,42.45251465,1,0,0
30,10.26142406,-59.44955826,0,1,0
31,32.48680496,-3.837755442,0,1,0
32,8.356593132,16.82351875,0,0,1
33,10.54064846,22.6517849,0,0,0
34,42.81959152,-41.91513062,0,0,0
35,44.3138237,-20.19357872,0,1,0
36,-42.85076904,2.163419962,0,1,0
37,0.115139082,53.97592163,1,1,1
38,54.17185593,-23.65539551,0,0,0
39,58.94473267,-25.86353302,0,0,0
40,-44.77371979,-48.67979431,1,0,0
41,-2.976540804,-13.89677811,1,0,1
42,-5.349147797,50.92974472,0,1,1
43,44.55633545,29.36616135,1,0,1
44,4.575719357,56.67287445,0,0,1
45,-10.97088242,15.96282482,0,0,0
46,37.06407547,-60.27471542,0,0,1
47,-44.99041367,19.64773941,0,0,1
48,-4.936248779,-14.37695599,1,0,0
49,-9.958568573,-32.70463181,0,1,0
50,-15.37876701,-44.07738113,0,1,0
51,42.70301056,7.592232704,0,0,0
52,-6.23479414,39.47713852,0,1,0
53,-17.67572784,22.48745155,1,1,0
54,4.227688789,2.878381729,1,0,0
55,3.96607089,-68.65923309,0,0,1
56,-30.69543839,-19.32549286,1,0,1
57,41.8212738,-42.54112244,0,0,1
58,-19.10536957,-3.1171031,0,0,1
59,15.24221134,-32.27959061,1,0,1
60,-17.54401016,36.89694214,1,1,1
61,56.44608307,37.11332703,1,0,1
62,-20.71826363,16.65320778,0,0,0
63,-57.13938904,43.68147659,0,0,1
64,-28.44333076,2.541955948,0,1,1
65,-13.95546913,16.86307526,0,1,0
66,-65.52865601,-11.81304359,0,1,1
67,-21.87775993,-25.71528053,0,0,1
68,4.466419697,15.75445461,0,0,0
69,-40.4332695,-26.66995811,0,0,0
70,41.02671051,-53.51075363,1,0,1
71,-25.58551598,26.04541588,0,1,1
72,60.13922501,-19.28404236,0,1,0
73,-55.98437881,7.87098217,1,1,0
74,-18.54537964,52.06909561,0,1,0
75,-11.87006283,67.31977081,0,0,0
76,15.57068825,56.68095016,0,0,0
77,-66.43134308,-11.13338947,0,1,0
78,-64.74701691,29.00144958,0,0,0
79,-8.288470268,-2.76762414,0,1,0
80,15.24436951,-58.66033554,1,1,1
81,49.78245926,12.87963104,0,1,0
82,69.62227631,-1.200595856,0,1,0
83,48.48892975,2.23370266,0,1,0
84,9.637566566,-40.49991226,0,0,0
85,64.71143341,-0.077031031,0,1,1
86,58.1044693,40.48681641,0,0,0
87,-7.084446907,39.39535904,0,1,1
88,-38.94701767,51.64031219,0,0,1
89,3.667513847,-43.28448105,1,1,0
90,34.19625854,47.99977875,0,1,0
91,11.53832912,-1.68459022,1,0,0
92,-18.08641624,-12.38662338,0,0,1
93,22.99560738,2.94647193,0,0,0
94,55.69404984,-30.36278725,0,0,0
95,-27.66674232,-64.6247406,0,1,1
96,-25.67201424,-6.546898365,1,0,1
97,2.176339149,-46.42190933,0,0,0
98,45.40752792,48.32179642,0,1,1
99,51.53292847,10.69200706,0,1,1
100,0.359145343,-13.89103985,0,0,0
101,-16.6178894,63.82758713,0,0,1
102,1.696425319,15.09731674,0,0,1
103,6.764859676,66.47927094,0,1,0
104,31.2095108,32.70376587,0,1,0
105,10.30523872,3.176830053,1,1,1
106,18.86228752,47.66012573,0,1,1
107,33.59352493,-18.27045822,1,1,1
108,70.49992371,-8.871244431,0,1,1
109,-66.93647766,25.90902328,0,0,1
110,-19.80380821,-25.99390221,0,0,1
111,39.61873627,-58.71583557,0,0,1
112,13.79340935,-25.78008652,1,0,1
113,-6.616457462,-14.94182682,0,0,0
114,44.88150787,-34.78366089,0,1,1
115,-37.994133,13.9327755,1,1,0
116,-8.597947121,60.63145065,0,0,1
117,-29.33268166,26.1830349,1,1,1
118,-9.362615585,6.129838943,0,1,1
119,-27.42938423,2.588223219,0,1,0
120,68.60822296,15.7829361,0,1,0
121,-64.2775116,6.109028816,0,0,1
122,-31.53406143,-32.43804932,1,0,0
123,0.470540941,42.54843903,1,1,1
124,22.37238121,-46.39606476,1,1,1
125,-48.32876205,-48.72427368,0,0,0
126,42.32511902,25.95975494,0,1,1
127,-2.233127832,-35.36240387,0,1,0
128,-49.51502228,12.10097122,0,1,1
129,-35.42483139,-44.98306274,0,0,1
130,34.53137589,-10.07645226,0,0,0
131,-43.64910507,-30.98720741,0,0,1
132,-29.52471733,2.326277494,0,1,1
133,12.61948109,19.17546082,0,0,0
134,13.22020245,8.817222595,0,1,0
135,-4.954018593,-48.31393814,0,1,1
136,-39.73880005,-33.87577057,0,0,0
137,37.81947327,-2.546363354,0,1,0
138,-21.9439106,-30.46621513,1,0,1
139,0.148680821,61.7406044,0,0,1
140,18.57631683,7.864799976,1,1,0
141,12.7233963,13.32600975,0,0,1
142,24.65096474,-38.34169388,1,0,0
143,-16.13014603,-9.580586433,0,0,1
144,28.73457909,-56.82979965,0,0,1
145,-56.80927658,-22.67116928,1,0,0
146,21.00586891,34.29030228,0,0,0
147,16.21014023,22.56620407,0,1,0
148,-0.897604942,66.65231323,0,0,1
149,-31.36865425,-19.25052452,0,0,0
150,-2.340291023,40.40129471,0,1,0
151,1.000621438,48.29037857,1,1,1
152,48.33789063,-3.352876186,0,1,1
153,43.76686859,-41.33747864,0,0,0
154,-23.10342407,-57.84640503,0,1,1
155,-16.95708275,52.68087769,1,1,0
156,-12.3736105,-44.0839653,0,1,0
157,-23.27157021,-21.05356407,0,0,1
158,-10.01640415,-29.84106445,0,1,0
159,33.37392426,31.77655411,1,1,1
160,51.4292717,-40.73749924,0,1,1
161,23.40372467,-6.315114498,0,0,1
162,-13.07253933,62.48774719,0,0,0
163,-21.88930893,45.60467529,0,1,0
164,50.66981506,27.62081909,0,0,0
165,6.761103153,-17.93362427,0,0,0
166,-68.4247818,-8.604216576,0,1,1
167,49.28674698,21.59580612,0,0,1
168,45.42063141,-20.82890892,0,1,1
169,-24.2168541,22.75104332,0,0,1
170,34.45117569,-0.602320671,0,0,0
171,14.08201599,41.63511276,0,0,1
172,41.00733566,-43.04317856,0,0,1
