k,GMM,Kmeans
2,0.006639732798366698,-9.699869081871932e-06
3,0.006570597743698145,-7.278178756634082e-07
4,0.003652607950808721,-1.2376287563513544e-05
5,0.005640012782756343,-1.4492053248336617e-05
6,0.005579519127927601,-6.180426832749171e-06
7,0.007701842381547626,-1.2095359797854357e-05
8,0.006996982347801771,-1.3543391499819958e-05
9,0.006199259298289877,-7.454309413974194e-06
10,0.0037635874873129887,-1.4233795302383768e-05
15,0.005978106545727104,-1.599386145273437e-05
20,0.00351870316284556,-2.382762039459309e-05
25,0.014056484673951276,-2.0849415284173233e-05
30,0.009561066917736578,-6.1591312097982575e-06
35,0.01179104720460145,-9.724867660702872e-06
40,0.010649275770079644,-6.189391351825544e-06
