k,GMM,Kmeans
2,-0.00024041512419324806,0.6274905907041665
3,-0.004285552657446947,0.5897500907295725
4,-0.0053083158772275615,0.5713725965542957
5,-0.002501871287233065,0.5617066481354395
6,-0.00708897991439996,0.5527537943309676
7,-0.007277934523176878,0.5490678664230312
8,-0.008894900198814774,0.5446575250458762
9,-0.009425397191067972,0.5419612665527004
10,-0.010772464421342949,0.5400767494557822
15,-0.028561813429566645,0.5318003773839611
20,-0.03721336817577829,0.5286018761212865
25,-0.028762243135370263,0.5257990268979673
30,-0.07399932930201357,0.5257632934759947
35,-0.3362371438656074,0.5235512702486456
40,-0.335075491443575,0.5239794697291663
