k,GMM,Kmeans
2,0.004741416725427164,1.4894828398684959e-05
3,0.005991137038405189,5.797192699507087e-06
4,0.004736100463683472,-1.2559972103616084e-05
5,0.00821865423252576,2.8062735816180756e-06
6,0.008733417603154518,-1.2317567389206635e-05
7,0.004221214799738874,9.790459729685579e-06
8,0.02643981711751898,-1.013736338613651e-05
9,0.005794110604945439,-1.0295834990667338e-05
10,0.0061774535310863896,7.669542235123461e-06
15,0.016663689833823273,-9.150358453478214e-06
20,0.08142356708684498,-8.635503839970255e-06
25,0.010479234793064186,-7.404881245474842e-06
30,0.017969789804512866,8.284231301253567e-06
35,0.04746311441522137,-2.635530716027026e-06
40,0.02925456830867298,-1.2092308790291082e-05
