k,GMM,Kmeans
2,0.00027333646918808747,0.6264254492283741
3,-0.007600424453222205,0.5907565855148527
4,-0.021838700814825654,0.571682181175566
5,-0.023455978893254945,0.5616478815259071
6,-0.04578530809203916,0.553558881241088
7,-0.02157319618054266,0.5488944725101329
8,-0.04129566082601618,0.5459880992511943
9,-0.09993125861122383,0.5417582619414933
10,-0.05042931414998031,0.5387367710277638
15,-0.04048998069890033,0.5315768086995932
20,-0.17748500587555424,0.5290439429110197
25,-0.5038295290610036,0.5265255718463172
30,-0.40926767533782277,0.5272366995688496
35,-0.6229551127772803,0.5241979675194016
40,-0.564172758276561,0.524392432293729
